2026 NIGERIA FEDERAL BUDGET — OVERVIEW,,,,,
Category,Amount (Full ₦ Naira),Amount (₦ Billion),Amount (₦ Trillion),% of Total Budget,Source & Citation
TOP-LEVEL BUDGET FIGURES,,,,,
Total Budget,"58,472,628,944,759","58,472.63",58.473,100.00%,"2026 Appropriation Bill, Page 1 — Opening paragraph, total authorised sum"
Statutory Transfers,"4,097,381,103,856","4,097.38",4.097,7.01%,"2026 Appropriation Bill, Page 1 & Page 4, Part J — sum of all statutory transfer heads"
Debt Service (Total),"15,909,361,631,657","15,909.36",15.909,27.21%,"2026 Appropriation Bill, Page 1 & Page 4, Part K — includes sinking fund"
  — Domestic Debt,"10,160,856,017,502","10,160.86",10.161,17.38%,"2026 Appropriation Bill, Page 4, Part K, Head 42"
  — Foreign Debt,"5,359,965,298,037","5,359.97",5.360,9.17%,"2026 Appropriation Bill, Page 4, Part K, Head 43"
  — Sinking Fund,"388,540,316,118",388.54,0.389,0.66%,"2026 Appropriation Bill, Page 4, Part K, Head 44"
Recurrent Non-Debt,"15,251,538,827,423","15,251.54",15.252,26.08%,"2026 Appropriation Bill, Page 1 — Recurrent (Non-Debt) Expenditure"
Capital Expenditure,"23,214,347,381,824","23,214.35",23.214,39.70%,"2026 Appropriation Bill, Page 1 — Contribution to Development Fund"
MINISTRY ALLOCATIONS ,,,,,
Education (MDA 0517),"2,398,761,320,016","2,398.76",2.399,4.10%,"2026 Appropriation Bill Details, Pages 1-2"
Health (MDA 0521),"2,149,365,867,131","2,149.37",2.149,3.68%,"2026 Appropriation Bill Details, Pages 1-2"
Defence (MDA 0116),"3,154,393,400,291","3,154.39",3.154,5.39%,"2026 Appropriation Bill Details, Pages 1-2"
Police Affairs (MDA 0155),"1,330,361,895,117","1,330.36",1.330,2.28%,"2026 Appropriation Bill Details, Pages 1-2"
Interior (MDA 0124),"696,416,792,599",696.42,0.696,1.19%,"2026 Appropriation Bill Details, Pages 1-2"
National Security Adviser (MDA 0157),"664,119,740,541",664.12,0.664,1.14%,"2026 Appropriation Bill Details, Pages 1-2"
Agriculture (MDA 0215),"1,447,973,604,421","1,447.97",1.448,2.48%,"2026 Appropriation Bill Details, Pages 1-2"
Works (MDA 0234),"3,485,652,384,621","3,485.65",3.486,5.96%,"2026 Appropriation Bill Details, Pages 1-2"
Power (MDA 0231),"1,107,103,148,958","1,107.10",1.107,1.89%,"2026 Appropriation Bill Details, Pages 1-2"
Science and Technology (MDA 0228),"838,674,080,349",838.67,0.839,1.43%,"2026 Appropriation Bill Details, Pages 1-2"
Water Resources (MDA 0252),"458,648,182,716",458.65,0.459,0.78%,"2026 Appropriation Bill Details, Pages 1-2"
Transport (MDA 0229),"432,298,285,025",432.30,0.432,0.74%,"2026 Appropriation Bill Details, Pages 1-2"
INEC (Statutory Transfer),"1,013,778,401,602","1,013.78",1.014,1.73%,"2026 Appropriation Bill, Page 4, Part J, Head 37 — full statutory transfer, no personnel/capital breakdown available"
